model_type,train_r2,train_rmse,test_r2,test_rmse,total_simulations,efficiency
random_forest,0.9362553343671928,4.743753388954645e-16,0.6088696796917493,1.2152142991859958e-15,130,0.004683612920705764
neural_network,0.8420235575377771,8.328341040122765e-16,0.6469094466291166,1.190519724396316e-15,130,0.004976226512531667
