approach,model_type,initial_error,final_error,final_rmse,final_r2_score,error_improvement,total_simulations,iterations_completed,converged,total_time,efficiency_rmse,efficiency_r2
adaptive,random_forest,0.0764007971371702,0.05177615348298749,5.15304969201346e-17,0.9674938397503754,32.23087268313648,35,5,False,244.12667560577393,554456686410582.75,0.02764268113572501
adaptive,neural_network,0.016022028948836524,0.03925901994678773,3.907275203671076e-17,0.9813110452047055,-145.03151300097116,35,5,False,258.1464304924011,731236656803296.6,0.028037458434420157
