model_type,train_r2,train_rmse,test_r2,test_rmse,total_simulations,efficiency
random_forest,0.9362553343671928,4.743753388954645e-16,0.5199814801548156,1.445939442633054e-15,130,0.003999857539652428
neural_network,0.8420235575377771,8.328341040122765e-16,0.6013509774123734,1.258823074446336e-15,130,0.004625776749325949
