approach,model_type,initial_error,final_error,final_rmse,final_r2_score,error_improvement,total_simulations,iterations_completed,converged,total_time,efficiency_rmse,efficiency_r2
adaptive,random_forest,0.08709785355810634,0.13264329733868616,1.8187132632246547e-16,0.8799618491755506,-52.29226889063884,100,8,False,2.4877915382385254,54983928485074.016,0.008799618491755506
adaptive,neural_network,0.13050446328885892,0.1324373771580033,1.8158898279566272e-16,0.8803342628811003,-1.4811093968993683,100,8,False,1.0478997230529785,55069420215061.92,0.008803342628811002
