model_type,initial_error,final_error,error_improvement,total_simulations,iterations_completed,converged,total_time,efficiency
random_forest,0.08709785355810634,0.12541828193271307,-43.996983632945316,100,8,False,3.481661558151245,0.008745817180672869
neural_network,0.13050446328885892,0.1324373771580033,-1.4811093968993683,100,8,False,1.260998010635376,0.008675626228419967
