model_type,train_r2,train_rmse,test_r2,test_rmse,total_simulations,efficiency
random_forest,0.923800169006726,3.1748340788375905e-16,0.4666325746566215,8.297349638681021e-16,30,0.015554419155220716
neural_network,0.8702630536491701,4.626294979228976e-16,0.35291802971072367,9.904857305298414e-16,30,0.01176393432369079
