strategy,seed,subset_size,global_mse,zone_1_mse,zone_2_mse,zone_3_mse,zone_4_mse,zone_5_mse,zone_1_contribution,zone_2_contribution,zone_3_contribution,zone_4_contribution,zone_5_contribution,zone_1_contribution_pct,zone_2_contribution_pct,zone_3_contribution_pct,zone_4_contribution_pct,zone_5_contribution_pct
Log-Uniform,0,200,0.0007581032247449053,3.692850412526571e-05,7.47122991702656e-05,0.0016177662016396647,0.0018167217375234693,0.00025637371377823975,7.385700825053143e-06,1.4942459834053122e-05,0.0003235532403279329,0.00036334434750469384,4.871100561786555e-05,0.9744481693237905,1.9714652644872828,42.68868590599404,47.93861038333468,6.426790276860209
Log-Uniform,0,400,0.00024746493247855485,3.0152972504179005e-05,3.221579496594069e-05,0.0006054607240302827,0.000503077170081566,6.895666178325089e-05,6.030594500835801e-06,6.443158993188138e-06,0.00012109214480605652,0.00010061543401631322,1.310176573881767e-05,2.4387410818871813,2.6055800189584986,48.96903417920624,40.68835873038465,5.298285989563433
Log-Uniform,0,600,0.00017366048173663378,4.064598460720066e-05,3.0668789376631116e-05,0.00037153466969282926,0.0003745673132143426,5.136787853213329e-05,8.129196921440132e-06,6.133757875326223e-06,7.430693393856586e-05,7.491346264286852e-05,9.759896921105327e-06,4.692360020516132,3.5405465641749867,42.89167668467429,43.24177904667502,5.633637683959554
Log-Uniform,0,800,0.0001338369592978805,3.662893126101658e-05,2.987318258972881e-05,0.0002710757261745321,0.00029550578748986205,3.7103524344237524e-05,7.325786252203316e-06,5.974636517945762e-06,5.421514523490643e-05,5.910115749797241e-05,7.04966962540513e-06,5.480649227626996,4.469811961491925,40.56004142463326,44.21541962075448,5.274077765493317
Log-Uniform,0,1000,0.00013643238015183655,3.418364931193763e-05,2.7969654155532127e-05,0.0002835269895865648,0.0003010623548639762,3.5543099452011346e-05,6.836729862387526e-06,5.593930831106426e-06,5.670539791731296e-05,6.021247097279524e-05,6.753188895882156e-06,5.0232502122433385,4.110110359811249,41.663983784202266,44.24078670385895,4.961868939884193
Log-Uniform,0,1200,0.00012148247123250174,3.353239128629662e-05,2.8524614196943268e-05,0.0002578997447342211,0.0002502511617339142,3.5696611732643706e-05,6.706478257259324e-06,5.704922839388654e-06,5.1579948946844215e-05,5.005023234678283e-05,6.782356229202304e-06,5.55062045972586,4.721682561065756,42.69017343433077,41.424102639470256,5.613420905407366
Log-Uniform,0,1400,8.02549821105651e-05,3.1734400836349015e-05,2.3610966678344725e-05,0.0001401199802614423,0.0001684869283678285,3.615463556975458e-05,6.346880167269804e-06,4.722193335668945e-06,2.802399605228846e-05,3.369738567356571e-05,6.869380758253372e-06,7.967478326595963,5.927947600139215,35.179580405921904,42.30160061972176,8.623393047621166
Log-Uniform,0,1600,7.456543369473459e-05,2.9363577539714766e-05,2.4214660047011478e-05,0.00013693144800380262,0.0001481388925274543,3.2514237740617144e-05,5.872715507942953e-06,4.842932009402296e-06,2.738628960076052e-05,2.9627778505490866e-05,6.177705170717258e-06,7.946043096655828,6.552700604828695,37.05485769416472,40.08769104248094,8.358707561869814
Log-Uniform,0,1800,7.648309453176346e-05,2.9313202368101824e-05,2.3358725793098415e-05,0.00014286149763846387,0.0001501902324561979,3.516604645215893e-05,5.8626404736203646e-06,4.671745158619684e-06,2.857229952769278e-05,3.0038046491239582e-05,6.681548825910195e-06,7.731673552670518,6.161116079050785,37.68126215333527,39.61429507322088,8.811653141722541
Log-Uniform,0,2000,7.10769695022621e-05,2.7405732744837265e-05,2.1608031749891694e-05,0.00012900150171054158,0.00014227269430804005,3.3676510616115546e-05,5.481146548967454e-06,4.321606349978339e-06,2.580030034210832e-05,2.8454538861608013e-05,6.398537017061953e-06,7.779517009305888,6.133755010348009,36.61895801608205,40.38617962286295,9.081590341401103
Morris Method,0,200,0.000968251792843122,0.00017503811086753805,6.857884038590971e-05,0.003016273880411732,0.0015304992169604245,5.149804084272346e-05,3.500762217350762e-05,1.3715768077181945e-05,0.0006032547760823464,0.0003060998433920849,9.784627760117457e-06,3.6170031590915244,1.4171192838706035,62.32855290806152,31.626372538505336,1.010952110471016
Morris Method,0,400,0.0003512742371683847,7.967812188089393e-05,4.2944656687120407e-05,0.0012482505576417327,0.00034677309249639166,3.851768575359048e-05,1.5935624376178786e-05,8.588931337424082e-06,0.00024965011152834653,6.935461849927835e-05,7.3183602931821925e-06,4.542035426572557,2.448051578656369,71.15627377014286,19.76773088922942,2.085908335398788
Morris Method,0,600,0.0002187834336657013,7.03874236492769e-05,2.6078195987959613e-05,0.0006773229036796585,0.00029083970310726743,2.942617612134867e-05,1.4077484729855378e-05,5.215639197591923e-06,0.00013546458073593172,5.816794062145349e-05,5.590973463056247e-06,6.442294783124542,2.3868386887358035,61.99280471762313,26.61945849004928,2.558603320467252
