Method,Dataset,Final_MSE_Mean,Final_MSE_Std,Best_MSE_Mean,Best_Subset_Size
Uniform,O2_simple_uniform.txt,3.915001728501227e-05,5.773980409774383e-07,3.915001728501227e-05,1900
Log-Uniform Latin Hypercube,O2_simple_latin_log_uniform.txt,3.684858523130355e-05,2.1181443919411231e-07,3.684858523130355e-05,1900
Uniform Latin Hypercube,O2_simple_latin.txt,3.700211046000281e-05,4.74960661429986e-07,3.700211046000281e-05,1900
Morris Discret (Not Corrected),O2_simple_morris.txt,6.142237463110618e-05,1.2962255089688701e-06,6.142237463110618e-05,1900
Morris Discret Corrected Grid,O2_simple__morris_continous_discret_corrected.txt,0.0001226833464342891,8.451484681069626e-06,0.00011855563123556278,1600
Morris Fixed Grid,O2_simple__morris_continous_final.txt,4.278552418976777e-05,3.92238912338773e-07,4.278552418976777e-05,1900
