Method,Dataset,Final_MSE_Mean,Final_MSE_Std,Best_MSE_Mean,Best_Subset_Size
Morris Discret Continuous,O2_simple__morris_continous_final.txt,4.0751474475617145e-05,0.0,4.0751474475617145e-05,1500
Uniform Latin Hypercube,O2_simple_latin.txt,3.709284235837405e-05,0.0,3.709284235837405e-05,1500
