approach,model_type,train_r2,train_rmse,test_r2,test_rmse,total_simulations,efficiency_r2,efficiency_rmse
traditional,random_forest,0.9320197712161393,3.3010259376285356e-16,0.6566760954281253,7.455366420468323e-16,120,0.005472300795234378,11177630800888.066
traditional,neural_network,0.669440576396695,7.351214137277254e-16,0.631331940499761,7.493441734831519e-16,120,0.005261099504164675,11120835562913.332
